feature,cls,db,density
VV,flood (change detection),-19.625,0.20944
VV,flood (change detection),-19.375,0.22532
VV,flood (change detection),-19.125,0.2332
VV,flood (change detection),-18.875,0.23516
VV,flood (change detection),-18.625,0.22326
VV,flood (change detection),-18.375,0.20696
VV,flood (change detection),-18.125,0.1849
VV,flood (change detection),-17.875,0.16534
VV,flood (change detection),-17.625,0.14352
VV,flood (change detection),-17.375,0.12374
VV,flood (change detection),-17.125,0.10696
VV,flood (change detection),-16.875,0.09082
VV,flood (change detection),-16.625,0.08198
VV,flood (change detection),-16.375,0.07188
VV,flood (change detection),-16.125,0.0654
VV,flood (change detection),-15.875,0.06012
VV,flood (change detection),-15.625,0.0543
VV,flood (change detection),-15.375,0.04926
VV,flood (change detection),-15.125,0.04772
VV,flood (change detection),-14.875,0.04508
VV,flood (change detection),-14.625,0.04254
VV,flood (change detection),-14.375,0.04132
VV,flood (change detection),-14.125,0.03698
VV,flood (change detection),-13.875,0.03696
VV,flood (change detection),-13.625,0.03372
VV,flood (change detection),-13.375,0.0338
VV,flood (change detection),-13.125,0.0305
VV,flood (change detection),-12.875,0.0294
VV,flood (change detection),-12.625,0.02762
VV,flood (change detection),-12.375,0.02468
VV,flood (change detection),-12.125,0.01336
VV,flood (change detection),-11.875,0.0
VV,flood (change detection),-11.625,0.0
VV,flood (change detection),-11.375,0.0
VV,flood (change detection),-11.125,0.0
VV,flood (change detection),-10.875,0.0
VV,flood (change detection),-10.625,0.0
VV,flood (change detection),-10.375,0.0
VV,flood (change detection),-10.125,0.0
VV,flood (change detection),-9.875,0.0
VV,flood (change detection),-9.625,0.0
VV,flood (change detection),-9.375,0.0
VV,flood (change detection),-9.125,0.0
VV,flood (change detection),-8.875,0.0
VV,flood (change detection),-8.625,0.0
VV,flood (change detection),-8.375,0.0
VV,flood (change detection),-8.125,0.0
VV,flood (change detection),-7.875,0.0
VV,flood (change detection),-7.625,0.0
VV,flood (change detection),-7.375,0.0
VV,flood (change detection),-7.125,0.0
VV,flood (change detection),-6.875,0.0
VV,flood (change detection),-6.625,0.0
VV,flood (change detection),-6.375,0.0
VV,flood (change detection),-6.125,0.0
VV,flood (change detection),-5.875,0.0
VV,flood (change detection),-5.625,0.0
VV,flood (change detection),-5.375,0.0
VV,flood (change detection),-5.125,0.0
VV,flood (change detection),-4.875,0.0
VV,flood (change detection),-4.625,0.0
VV,flood (change detection),-4.375,0.0
VV,flood (change detection),-4.125,0.0
VV,flood (change detection),-3.875,0.0
VV,flood (change detection),-3.625,0.0
VV,flood (change detection),-3.375,0.0
VV,flood (change detection),-3.125,0.0
VV,flood (change detection),-2.875,0.0
VV,flood (change detection),-2.625,0.0
VV,flood (change detection),-2.375,0.0
VV,flood (change detection),-2.125,0.0
VV,flood (change detection),-1.875,0.0
VV,flood (change detection),-1.625,0.0
VV,flood (change detection),-1.375,0.0
VV,flood (change detection),-1.125,0.0
VV,flood (change detection),-0.875,0.0
VV,flood (change detection),-0.625,0.0
VV,flood (change detection),-0.375,0.0
VV,flood (change detection),-0.125,0.0
VV,flood (change detection),0.125,0.0
VV,flood (change detection),0.375,0.0
VV,flood (change detection),0.625,0.0
VV,flood (change detection),0.875,0.0
VV,flood (change detection),1.125,0.0
VV,flood (change detection),1.375,0.0
VV,flood (change detection),1.625,0.0
VV,flood (change detection),1.875,0.0
VV,flood (change detection),2.125,0.0
VV,flood (change detection),2.375,0.0
VV,flood (change detection),2.625,0.0
VV,flood (change detection),2.875,0.0
VV,flood (change detection),3.125,0.0
VV,flood (change detection),3.375,0.0
VV,flood (change detection),3.625,0.0
VV,flood (change detection),3.875,0.0
VV,flood (change detection),4.125,0.0
VV,flood (change detection),4.375,0.0
VV,flood (change detection),4.625,0.0
VV,flood (change detection),4.875,0.0
VV,flood (change detection),5.125,0.0
VV,flood (change detection),5.375,0.0
VV,flood (change detection),5.625,0.0
VV,flood (change detection),5.875,0.0
VV,flood (change detection),6.125,0.0
VV,flood (change detection),6.375,0.0
VV,flood (change detection),6.625,0.0
VV,flood (change detection),6.875,0.0
VV,flood (change detection),7.125,0.0
VV,flood (change detection),7.375,0.0
VV,flood (change detection),7.625,0.0
VV,flood (change detection),7.875,0.0
VV,flood (change detection),8.125,0.0
VV,flood (change detection),8.375,0.0
VV,flood (change detection),8.625,0.0
VV,flood (change detection),8.875,0.0
VV,flood (change detection),9.125,0.0
VV,flood (change detection),9.375,0.0
VV,flood (change detection),9.625,0.0
VV,flood (change detection),9.875,0.0
VV,non-flooded land,-34.875,0.0
VV,non-flooded land,-34.625,0.0
VV,non-flooded land,-34.375,0.0
VV,non-flooded land,-34.125,0.0
VV,non-flooded land,-33.875,0.0
VV,non-flooded land,-33.625,0.0
