feature,cls,db,density
VV,flood (change detection),4.875,0.0
VV,flood (change detection),5.125,0.0
VV,flood (change detection),5.375,0.0
VV,flood (change detection),5.625,0.0
VV,flood (change detection),5.875,0.0
VV,flood (change detection),6.125,0.0
VV,flood (change detection),6.375,0.0
VV,flood (change detection),6.625,0.0
VV,flood (change detection),6.875,0.0
VV,flood (change detection),7.125,0.0
VV,flood (change detection),7.375,0.0
VV,flood (change detection),7.625,0.0
VV,flood (change detection),7.875,0.0
VV,flood (change detection),8.125,0.0
VV,flood (change detection),8.375,0.0
VV,flood (change detection),8.625,0.0
VV,flood (change detection),8.875,0.0
VV,flood (change detection),9.125,0.0
VV,flood (change detection),9.375,0.0
VV,flood (change detection),9.625,0.0
VV,flood (change detection),9.875,0.0
VV,non-flooded land,-34.875,0.0
VV,non-flooded land,-34.625,0.0
VV,non-flooded land,-34.375,0.0
VV,non-flooded land,-34.125,0.0
VV,non-flooded land,-33.875,0.0
VV,non-flooded land,-33.625,0.0
VV,non-flooded land,-33.375,0.0
VV,non-flooded land,-33.125,0.0
VV,non-flooded land,-32.875,0.0
VV,non-flooded land,-32.625,0.0
VV,non-flooded land,-32.375,0.0
VV,non-flooded land,-32.125,0.0
VV,non-flooded land,-31.875,0.0
VV,non-flooded land,-31.625,0.0
VV,non-flooded land,-31.375,0.0
VV,non-flooded land,-31.125,0.0
VV,non-flooded land,-30.875,0.0
VV,non-flooded land,-30.625,0.0
VV,non-flooded land,-30.375,0.0
VV,non-flooded land,-30.125,0.0
VV,non-flooded land,-29.875,0.0
VV,non-flooded land,-29.625,0.0
VV,non-flooded land,-29.375,0.0
VV,non-flooded land,-29.125,0.0
VV,non-flooded land,-28.875,0.0
VV,non-flooded land,-28.625,0.0
VV,non-flooded land,-28.375,0.0
VV,non-flooded land,-28.125,0.0
VV,non-flooded land,-27.875,0.0
VV,non-flooded land,-27.625,0.0
VV,non-flooded land,-27.375,0.0
VV,non-flooded land,-27.125,0.0
VV,non-flooded land,-26.875,0.0
VV,non-flooded land,-26.625,0.0
VV,non-flooded land,-26.375,0.0
VV,non-flooded land,-26.125,0.0
VV,non-flooded land,-25.875,0.0
VV,non-flooded land,-25.625,0.0
VV,non-flooded land,-25.375,0.0
VV,non-flooded land,-25.125,0.0
VV,non-flooded land,-24.875,0.0
VV,non-flooded land,-24.625,0.0
VV,non-flooded land,-24.375,0.0
VV,non-flooded land,-24.125,0.0
VV,non-flooded land,-23.875,0.0
VV,non-flooded land,-23.625,0.0
VV,non-flooded land,-23.375,0.0
VV,non-flooded land,-23.125,0.0
VV,non-flooded land,-22.875,0.0
VV,non-flooded land,-22.625,0.0
VV,non-flooded land,-22.375,0.0
VV,non-flooded land,-22.125,2.0152960973791074e-05
VV,non-flooded land,-21.875,4.030592194758215e-05
VV,non-flooded land,-21.625,8.06118438951643e-05
VV,non-flooded land,-21.375,6.045888292137322e-05
VV,non-flooded land,-21.125,0.00012091776584274645
VV,non-flooded land,-20.875,0.00014107072681653751
VV,non-flooded land,-20.625,0.000261988492659284
VV,non-flooded land,-20.375,0.00030229441460686614
VV,non-flooded land,-20.125,0.000261988492659284
VV,non-flooded land,-19.875,0.00046351810239719473
VV,non-flooded land,-19.625,0.000544129946292359
VV,non-flooded land,-19.375,0.0007658125170040608
VV,non-flooded land,-19.125,0.0007658125170040608
VV,non-flooded land,-18.875,0.001047953970637136
VV,non-flooded land,-18.625,0.0012494835803750466
VV,non-flooded land,-18.375,0.0015316250340081216
VV,non-flooded land,-18.125,0.0014107072681653753
VV,non-flooded land,-17.875,0.002176519785169436
VV,non-flooded land,-17.625,0.0025392730826976754
VV,non-flooded land,-17.375,0.0022772845900383915
VV,non-flooded land,-17.125,0.0024989671607500933
VV,non-flooded land,-16.875,0.002982638224121079
VV,non-flooded land,-16.625,0.003204320794832781
VV,non-flooded land,-16.375,0.0034260033655444827
VV,non-flooded land,-16.125,0.003022944146068661
VV,non-flooded land,-15.875,0.0033856974435969005
VV,non-flooded land,-15.625,0.003284932638727945
VV,non-flooded land,-15.375,0.0029221793411997057
VV,non-flooded land,-15.125,0.0029221793411997057
VV,non-flooded land,-14.875,0.002680343809514213
VV,non-flooded land,-14.625,0.0031237089509376166
VV,non-flooded land,-14.375,0.002519120121723884
VV,non-flooded land,-14.125,0.002458661238802511
VV,non-flooded land,-13.875,0.0029624852631472878
VV,non-flooded land,-13.625,0.0030632500680162432
VV,non-flooded land,-13.375,0.0028012615753569593
VV,non-flooded land,-13.125,0.002982638224121079
VV,non-flooded land,-12.875,0.003284932638727945
VV,non-flooded land,-12.625,0.0035670740923610202
VV,non-flooded land,-12.375,0.003788756663072722
VV,non-flooded land,-12.125,0.0045142632581292004
VV,non-flooded land,-11.875,0.005199463931238098
VV,non-flooded land,-11.625,0.006670630082324845
VV,non-flooded land,-11.375,0.0069326185749841295
VV,non-flooded land,-11.125,0.008383631765097087
